"","name","is.nbreak","is.tfirstneg","is.tfirstneg.pknown","is.tfirstneg.pknown.offs","is.tfirstneg.offs","is.tfirstneg.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.A81001",2,45,45,NA,NA,45,-0.377108580701402,-1.01462828464027,1.00065216846996,0.748780242540696,0.371917439876692,0.376862802664004,0.503302279164399
"2","ratio_quantity.A81002",2,49,49,NA,NA,49,-0.197572778354732,-0.435619324850678,0.595645416935929,0.651117346017005,0.319422057616953,0.331695288400052,0.509424745676164
"3","ratio_quantity.A81004",2,48,48,NA,NA,48,-0.111683300696678,-0.201516414241131,0.578083658390874,0.665897711057516,0.279506229217138,0.386391481840378,0.580256510007742
"4","ratio_quantity.A81005",2,47,47,47,47,47,-0.0627057567910625,-0.125461117540595,0.609688542760254,0.562508070211179,0.253961562970743,0.308546507240436,0.548519254354164
"5","ratio_quantity.A81006",2,47,47,47,47,47,-0.0388132864263654,-0.0792183930981734,0.580553136921247,0.528766249474543,0.395054849232362,0.133711400242181,0.252874309536692
"6","ratio_quantity.A81007",2,49,49,49,49,49,-0.171028872078611,-0.336784319779899,0.840841820651382,0.678857954472901,0.272054039924219,0.406803914548682,0.59924747418559
"7","ratio_quantity.A81009",2,47,47,NA,NA,47,-0.205016712828329,-0.404178333675108,0.750987046239334,0.712259916500716,0.166267242312854,0.545992674187863,0.766563808434268
"8","ratio_quantity.A81011",2,48,48,NA,NA,48,-0.0960882288918898,-0.171237121402722,0.624822704872768,0.657229575492233,0.34965999409728,0.307569581394953,0.467978911576823
"9","ratio_quantity.A81012",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ratio_quantity.A81013",4,25,25,25,25,49,-0.264635522922495,-0.380050703834284,0.649850880733809,0.723044705779223,0.31581970883274,0.407224996946483,0.563208600646094
"11","ratio_quantity.A81014",1,42,42,42,42,42,-0.0194617470356774,-0.0295259145412218,0.55,0.678602956988934,0.289368016275387,0.389234940713547,0.573582735979582
"12","ratio_quantity.A81016",2,22,22,NA,NA,22,-0.00452657939387994,-0.00679633500281315,0.525,0.670558991275621,0.489495815520424,0.181063175755198,0.270018265523152
"13","ratio_quantity.A81017",2,47,47,47,47,47,-0.0633373208192877,-0.100367877553603,0.587036516839963,0.69438903141725,0.370709060909276,0.323679970507974,0.466136352769488
"14","ratio_quantity.A81018",2,47,47,47,47,47,-0.103246175074277,-0.166774666243983,0.673529960099373,0.722322065912716,0.262448647398218,0.459873418514497,0.636659795147485
"15","ratio_quantity.A81019",2,47,47,47,47,47,-0.0953478520297622,-0.159272110817101,0.608180835398381,0.693995358743944,0.223668871224953,0.470326487518992,0.677708404808688
"16","ratio_quantity.A81020",1,29,29,29,29,29,-0.0134427892583659,-0.0202648052233127,0.515151515151515,0.676799239529169,0.233187194003093,0.443612045526076,0.655455886496984
"17","ratio_quantity.A81021",2,30,30,30,30,30,-0.00707315939511902,-0.0115197366477887,0.53125,0.621076726610065,0.394735625966256,0.226341100643809,0.364433395981869
"18","ratio_quantity.A81022",3,16,16,NA,NA,47,-0.028833426517097,-0.0429213840060937,0.539898112041212,0.673326100810001,0.192678302889817,0.480647797920184,0.71384103087935
"19","ratio_quantity.A81023",1,42,42,42,42,42,-0.020655194219142,-0.0313014377953172,0.55,0.680535240439641,0.267431356056801,0.41310388438284,0.607027909555376
"20","ratio_quantity.A81025",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ratio_quantity.A81026",3,31,31,31,31,47,-0.0520567852959398,-0.0707883013927512,0.611989997278451,0.740753968970892,0.400507981112013,0.340245987858879,0.459323880952771
"22","ratio_quantity.A81027",4,16,16,49,49,49,-0.176319772289501,-0.24936569387838,0.857440891409841,0.713074949015126,0.301805148248829,0.411269800766297,0.576755362580509
"23","ratio_quantity.A81029",2,19,19,19,19,19,-0.0107957794127514,-0.0149125306281633,0.511627906976744,0.734735912844081,0.270517398095773,0.464218514748308,0.631816829194275
"24","ratio_quantity.A81030",4,14,14,14,14,49,-0.0678558078813311,-0.100165007866952,0.629137092209026,0.68536875170256,0.253947309720332,0.431421441982228,0.629473463607017
"25","ratio_quantity.A81031",2,47,47,47,47,47,-0.0557851610146582,-0.093784961593265,0.653616671709605,0.650605056091144,0.30921131000602,0.341393746085124,0.524732697492744
"26","ratio_quantity.A81032",2,47,47,47,47,47,-0.0863495340036217,-0.164383908850291,0.635724163085137,0.611641423018516,0.204155571365945,0.407485851652571,0.666216898197615
"27","ratio_quantity.A81034",2,49,49,49,49,49,-0.17932445384269,-0.387649421820734,0.620364081419841,0.641918859376507,0.352855615366206,0.289063244010301,0.45031118775832
"28","ratio_quantity.A81035",1,45,45,45,45,45,-0.0150410824413383,-0.0235325891007653,0.529411764705882,0.654200776129664,0.398502374626912,0.255698401502752,0.390856157364252
"29","ratio_quantity.A81036",2,48,48,NA,NA,48,-0.103047084232067,-0.174091281068555,0.543732292518285,0.694961185843442,0.315925084254528,0.379036101588915,0.545406145422202
"30","ratio_quantity.A81037",4,17,17,NA,NA,49,-0.251379738606924,-0.364053219935158,0.578555380166561,0.696703400340918,0.262207849483619,0.434495550857299,0.623644940795017
"31","ratio_quantity.A81038",1,46,46,46,46,46,-0.0284109198577474,-0.0427456322834456,0.5625,0.693061747089757,0.238487029365798,0.454574717723959,0.655893532766407
"32","ratio_quantity.A81039",1,47,47,47,47,47,-0.0286425155895855,-0.0453321319586528,0.533333333333333,0.660479456673898,0.230841722830114,0.429637733843783,0.650493712563585
"33","ratio_quantity.A81040",2,47,47,NA,NA,47,-0.0951619366886612,-0.147405600270432,0.664310735615247,0.740740778429248,0.310993380471599,0.429747397957648,0.580158957724637
"34","ratio_quantity.A81041",2,49,49,NA,NA,49,-0.387338812729147,-1.82525259324088,1.08670579442162,0.599549886507925,0.243115960492743,0.356433926015182,0.59450253271038
"35","ratio_quantity.A81042",1,40,40,NA,NA,40,-0.0264112967640577,-0.0378123743493131,0.545454545454545,0.72489419339648,0.14384566458721,0.58104852880927,0.801563226885259
"36","ratio_quantity.A81043",1,42,42,42,42,42,-0.0165055860443255,-0.0250156600530719,0.55,0.676315721347898,0.346204000461388,0.330111720886511,0.488102982773486
