"","name","is.nbreak","is.tfirstneg","is.tfirstneg.pknown","is.tfirstneg.pknown.offs","is.tfirstneg.offs","is.tfirstneg.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.G85137",2,32,32,NA,NA,32,-0.0798365907821205,-0.127032392551835,0.504121219077583,0.708310865558484,0.074839487954488,0.633471377603996,0.894340900876229
"2","ratio_quantity.G85138",2,24,24,24,24,24,-0.11323578166666,-0.169273936766723,0.590692497960735,0.782185673360327,0.207085521974012,0.575100151386316,0.735247615717177
"3","ratio_quantity.G85623",1,7,7,7,7,7,-0.00761010077133829,-0.0100902282403517,0.509090909090909,0.761815118741579,0.343259576317973,0.418555542423606,0.549418792206443
"4","ratio_quantity.G85632",2,25,25,25,25,25,-0.190634403598043,-0.332988242133513,0.604417490481784,0.763130304283951,0.132326574742349,0.630803729541602,0.826600288313132
"5","ratio_quantity.G85633",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ratio_quantity.G85642",1,39,39,39,39,39,-0.0197576472232821,-0.0385942457478704,0.521739130434783,0.531690108667287,0.0772642225317983,0.454425886135489,0.854681850814442
"7","ratio_quantity.G85644",2,26,26,NA,NA,26,-0.181564997410278,-0.285068613037516,0.62808096031291,0.818481827627512,0.240323886588119,0.578157941039393,0.706378469898676
"8","ratio_quantity.G85647",1,37,37,37,37,37,-0.0316593480209783,-0.0434640636902251,0.52,0.7600622016202,-0.0314214989042576,0.791483700524457,1.04134069400804
"9","ratio_quantity.G85651",1,47,47,47,47,47,-0.0202963260966431,-0.0385498900789843,0.533333333333333,0.546791370701395,0.242346479251748,0.304444891449647,0.55678437474081
"10","ratio_quantity.G85662",1,40,40,NA,NA,40,-0.0249670044400744,-0.0390557975870629,0.545454545454545,0.664232004326921,0.114957906645283,0.549274097681637,0.826931093508853
"11","ratio_quantity.G85673",1,8,8,8,8,8,-0.0117154310445944,-0.0144806795609601,0.518518518518518,0.820754191641109,0.188120915233011,0.632633276408098,0.770795060020515
"12","ratio_quantity.G85674",1,28,28,28,28,28,-0.0092660003228814,-0.0156640704396945,0.529411764705882,0.600810858254593,0.285766847276625,0.315044010977968,0.524364709208481
"13","ratio_quantity.G85681",1,41,41,41,41,41,-0.035437512055988,-0.050032958458542,0.523809523809524,0.743720874618928,-0.00046687855682026,0.744187753175748,1.00062776045793
"14","ratio_quantity.G85685",2,27,27,27,27,27,-0.0773165817148675,-0.144333198733873,0.509557103044022,0.648167811492006,0.192969083500643,0.455198727991363,0.702285303158682
"15","ratio_quantity.G85690",1,8,8,8,8,8,-0.00818305951717351,-0.0125142978185729,0.518518518518518,0.662079877046062,0.220194663118693,0.441885213927369,0.66741979215391
"16","ratio_quantity.G85695",1,40,40,40,40,40,-0.0183855680429331,-0.0335934949920642,0.545454545454545,0.565681050316401,0.161198553371873,0.404482496944528,0.71503632076466
"17","ratio_quantity.G85696",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","ratio_quantity.G85698",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","ratio_quantity.G85705",2,49,49,NA,NA,49,-0.474050256355201,-2.39531077312515,0.907922022344345,0.67195787722592,0.149831257660997,0.522126619564923,0.777022842146663
"20","ratio_quantity.G85706",2,16,16,16,16,16,-0.00594765091912586,-0.0105466390071268,0.521739130434783,0.569885689862793,0.296293747583004,0.273591942279789,0.480082141289879
"21","ratio_quantity.G85708",2,37,37,37,37,37,-0.0273040669434005,-0.0399638723411757,0.52,0.710522817876814,0.0279211442918026,0.682601673585012,0.960703381243636
"22","ratio_quantity.G85711",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","ratio_quantity.G85712",1,5,5,5,5,5,-0.010849944188559,-0.0120077020680071,0.508771929824561,0.914432005694496,0.295985186946636,0.61844681874786,0.676317992914257
"24","ratio_quantity.G85715",3,32,32,41,41,32,-0.21659825406033,-0.509382847554075,0.715201979696243,0.641815269317868,0.0361171303045453,0.605698139013323,0.943726595437763
"25","ratio_quantity.G85716",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","ratio_quantity.G85717",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","ratio_quantity.G85721",2,48,48,48,48,48,-0.159328878322262,-0.285729932385312,0.644072584002784,0.71694941528233,0.222194996977287,0.494754418305043,0.690082741904757
"28","ratio_quantity.G85722",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","ratio_quantity.G85723",2,48,48,48,48,48,-0.124584450767943,-0.246176644788955,0.835577011582695,0.630661909394242,0.332462104849682,0.29819980454456,0.472836237772762
"30","ratio_quantity.G85724",2,14,14,14,14,14,-0.0196454539917045,-0.0317138907290731,0.512274509958577,0.639104421027084,0.178910826933329,0.460193594093755,0.72006010121819
"31","ratio_quantity.G85726",1,42,42,42,42,42,-0.0332109805553694,-0.050930525895192,0.55,0.685294970885903,0.0210753597785153,0.664219611107387,0.969246294407691
"32","ratio_quantity.G85727",1,23,23,23,23,23,-0.00940171240131547,-0.0190995972900254,0.512820512820513,0.501648342450705,0.134981558799402,0.366666783651303,0.730923941380976
"33","ratio_quantity.G85736",2,33,33,33,33,33,-0.498331053275055,-1.24089291670659,0.84908710549938,0.899921751848512,0.313019595347184,0.586902156501328,0.652170208460662
"34","ratio_quantity.H81002",1,26,26,26,26,26,-0.0143148660151297,-0.0231378584281594,0.527777777777778,0.632992089733817,0.117656913189149,0.515335176544668,0.814125776455397
"35","ratio_quantity.H81003",2,45,45,NA,NA,45,-0.115681242174506,-0.270326774671356,0.659600175047116,0.543612372248997,0.192850663714756,0.350761708534242,0.645242320521686
"36","ratio_quantity.H81004",1,11,11,11,11,11,-0.00937430609421917,-0.0142886086764396,0.509803921568627,0.665442808388387,0.18735319758321,0.478089610805178,0.718453343816347
"37","ratio_quantity.H81005",1,40,40,40,40,40,-0.014002763381244,-0.0217125554039933,0.545454545454545,0.658918256776766,0.350857462389398,0.308060794387367,0.467525055223557
"38","ratio_quantity.H81006",1,3,3,3,3,3,-0.00326848293723952,-0.00797726282954586,0.508474576271186,0.412993348104505,0.220152854807374,0.192840493297131,0.466933654457637
"39","ratio_quantity.H81007",2,15,15,15,15,15,-0.0337802505480101,-0.0620369104064798,0.539436572374681,0.578298833544396,0.265192045110453,0.313106788433943,0.541427321433298
"40","ratio_quantity.H81009",1,36,36,NA,NA,36,-0.0195298736384236,-0.0310815498782389,0.538461538461539,0.647872852509533,0.140096137910519,0.507776714599014,0.783759826688435
"41","ratio_quantity.H81010",1,13,13,13,13,13,-0.00809199757480759,-0.0116310503146852,0.510204081632653,0.703815716058832,0.30730783489326,0.396507881165572,0.563368893473853
"42","ratio_quantity.H81011",1,28,28,28,28,28,-0.0103393956780997,-0.0155094614452147,0.529411764705882,0.676990247135606,0.325450794080215,0.35153945305539,0.519268120246605
"43","ratio_quantity.H81013",1,7,7,7,7,7,-0.00479528598769011,-0.00780353451505792,0.509090909090909,0.619297083658603,0.355556354335647,0.263740729322956,0.425871098511982
"44","ratio_quantity.H81015",1,19,19,NA,NA,19,-0.0121933596940493,-0.0186340747607891,0.511627906976744,0.666551563714315,0.142237096870194,0.524314466844121,0.786607511536561
"45","ratio_quantity.H81016",1,19,19,NA,NA,19,-0.0108271102959945,-0.0162897686515092,0.511627906976744,0.675484204427983,0.209918461700221,0.465565742727762,0.68923261221484
"46","ratio_quantity.H81017",2,44,44,NA,NA,44,-0.0427301751065563,-0.0836637026112697,0.572895528699844,0.553467493356686,0.255122172327352,0.298345321029334,0.539047594683331
"47","ratio_quantity.H81019",3,10,10,10,10,46,-0.304256013680289,-0.51010129893484,0.809701394724697,0.602461004713162,0.226697771918265,0.375763232794897,0.623713783722487
"48","ratio_quantity.H81020",1,36,36,36,36,36,-0.0132347719927339,-0.0253936459552798,0.538461538461538,0.534419166547238,0.190315094736155,0.344104071811083,0.643884226747071
"49","ratio_quantity.H81021",2,47,47,NA,NA,47,-0.0854820881133325,-0.15479711325632,0.715290331138409,0.637702257566927,0.279181733555573,0.358520524011354,0.56220676617838
"50","ratio_quantity.H81022",1,43,43,43,43,43,-0.0234602267834868,-0.0352494947095354,0.526315789473684,0.689008115534941,0.243263806648692,0.44574430888625,0.646936224459674
"51","ratio_quantity.H81023",1,34,34,34,34,34,-0.0111108558170775,-0.0198061730904765,0.535714285714286,0.572090292193911,0.26098632931574,0.311103962878171,0.543802205915988
"52","ratio_quantity.H81024",1,35,35,35,35,35,-0.0122721247146441,-0.0247563954008529,0.518518518518518,0.507987454670203,0.176640087374812,0.331347367295391,0.652274705308439
