"","name","is.nbreak","is.tfirstneg","is.tfirstneg.pknown","is.tfirstneg.pknown.offs","is.tfirstneg.offs","is.tfirstneg.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.M83601",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ratio_quantity.M83608",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ratio_quantity.M83616",2,30,30,30,30,30,-0.02879040480851,-0.0368420200750895,0.535429248072725,0.810246056529857,0.541392562700926,0.268853493828932,0.331817096377346
"4","ratio_quantity.M83617",2,47,47,NA,NA,47,-0.191167462235951,-0.400414518658489,0.801707278778261,0.668591365036531,0.430140913985026,0.238450451051506,0.356646022549928
"5","ratio_quantity.M83619",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ratio_quantity.M83623",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ratio_quantity.M83624",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ratio_quantity.M83625",2,39,39,39,39,39,-0.046240906864476,-0.072796778263805,0.515813588859491,0.681446309731422,0.32286012384424,0.358586185887182,0.526213409283134
"9","ratio_quantity.M83627",2,15,15,15,15,15,-0.00812796403414596,-0.00942554317761401,0.51063829787234,0.870461718278692,0.488447408673832,0.382014309604859,0.438863997787611
"10","ratio_quantity.M83631",3,38,38,61,61,61,-0.979158144363377,-1.18187569940913,1.16294499698658,0.84196427767484,2.22044604925031e-16,0.84196427767484,1
"11","ratio_quantity.M83632",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ratio_quantity.M83637",1,36,36,NA,NA,36,-0.0156031687294877,-0.0170522987312105,0.538461538461538,0.930621664208311,0.52493927724163,0.40568238696668,0.435926222834924
"13","ratio_quantity.M83638",2,42,42,42,42,42,-0.0746850137426771,-0.132012731176328,0.526496361619549,0.640426007639101,0.356720291181956,0.283705716457145,0.442995307924817
"14","ratio_quantity.M83640",2,41,41,41,41,41,-0.205330161335708,-0.403021211026075,0.522932980190377,0.714807468529901,0.32215646139519,0.392651007134711,0.549310163116023
"15","ratio_quantity.M83641",1,51,51,51,51,51,-0.028111849036585,-0.0481996618749552,0.545454545454545,0.611349322973971,0.302118983571536,0.309230339402435,0.505816114914714
"16","ratio_quantity.M83650",1,20,20,20,20,20,-0.00745918679835502,-0.00892135500574916,0.523809523809524,0.843563880933732,0.530278035402821,0.313285845530911,0.371383664725116
"17","ratio_quantity.M83661",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","ratio_quantity.M83665",1,23,23,23,23,23,-0.00757076713505076,-0.00928911784745163,0.512820512820513,0.822585417544263,0.527325499277283,0.29525991826698,0.358941347572688
"19","ratio_quantity.M83668",1,16,16,16,16,16,-0.00514407977191533,-0.00740419389183913,0.521739130434783,0.699896249563836,0.463268580055731,0.236627669508105,0.338089637793555
"20","ratio_quantity.M83670",2,42,42,42,42,42,-0.422755780747507,-1.61717745754878,1.1687402981897,0.684171606681845,0.322452428005175,0.361719178676671,0.528696565516607
"21","ratio_quantity.M83680",2,49,49,49,49,49,-0.353366039448599,-1.2320521645203,0.877675728066072,0.640176979459553,0.237561265991859,0.402615713467694,0.628913138687973
"22","ratio_quantity.M83681",1,49,49,NA,NA,49,-0.0330065584477512,-0.0449424685202586,0.538461538461538,0.767424571843543,0.338339312022777,0.429085259820766,0.559123691843744
"23","ratio_quantity.M83682",2,15,15,15,15,15,-0.0218217011589072,-0.0261965915645665,0.528609845664309,0.854819425504973,0.689694229007857,0.165125196497116,0.193169681888745
"24","ratio_quantity.M83691",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","ratio_quantity.M83693",2,27,27,27,27,27,-0.0221404514166821,-0.028792459235928,0.547315582020477,0.791107465844359,0.467485012634484,0.323622453209874,0.409075210615625
"26","ratio_quantity.M83697",2,42,42,42,42,42,-0.37916150207175,-0.970958450170077,0.964205766766753,0.769663795970459,0.376426672588401,0.393237123382058,0.510920645404959
"27","ratio_quantity.M83698",1,27,27,27,27,27,-0.00611671392271273,-0.00732574955497945,0.514285714285714,0.841077543092076,0.62699255579713,0.214084987294946,0.254536563308895
"28","ratio_quantity.M83700",1,49,49,49,49,49,-0.0272397033808506,-0.0343322707858827,0.538461538461538,0.820653676803529,0.466537532852472,0.354116143951058,0.431504974583615
"29","ratio_quantity.M83701",2,41,41,NA,NA,41,-0.210116980460564,-0.372245897309262,0.977854817077522,0.774574458647353,0.344823586041268,0.429750872606085,0.554821899700337
"30","ratio_quantity.M83703",1,42,42,42,42,42,-0.0137645285886672,-0.0204104515713172,0.55,0.688150812526182,0.412860240752838,0.275290571773344,0.400043953683292
"31","ratio_quantity.M83705",1,41,41,41,41,41,-0.0159185864678931,-0.019704288492496,0.523809523809524,0.823792794864473,0.489502479038719,0.334290315825754,0.405794172891195
