"","name","is.nbreak","is.tfirstneg","is.tfirstneg.pknown","is.tfirstneg.pknown.offs","is.tfirstneg.offs","is.tfirstneg.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.0101010C0",3,34,34,Inf,Inf,82,0.000534818415468719,0.0148111079516734,0.57565452161785,0.0361937022909166,0.0417680708962284,-0.00557436860531179,-0.154014876966891
"2","ratio_quantity.0101010F0",13,29,29,31,31,45,-0.00402448661243467,46168329955007.9,1.45133593798507,0.00277295318547838,2.35922392732846e-16,0.00277295318547814,0.999999999999915
"3","ratio_quantity.0101010G0",4,78,78,78,78,78,-0.00231804309889899,-0.00490299392761811,0.545454545454545,0.475099191336035,0.424102243160257,0.050996948175778,0.107339581093305
"4","ratio_quantity.0101010I0",1,Inf,Inf,Inf,Inf,Inf,NA,NA,NA,NA,0.0281855276025496,NA,NA
"5","ratio_quantity.0101010J0",4,26,26,26,26,69,-0.00576659813002856,-0.0593242748541637,0.500908741459167,0.0976181982698222,0.0285445608655689,0.0690736374042533,0.707589759168981
"6","ratio_quantity.0101010L0",5,12,12,12,12,12,-0.0202867805115572,-0.149391559626159,0.743678035141619,0.156082809164871,0.101524843074898,0.0545579660899731,0.349545003590647
"7","ratio_quantity.0101010N0",2,Inf,Inf,Inf,Inf,Inf,NA,NA,NA,NA,0.0191310913574906,NA,NA
"8","ratio_quantity.0101010P0",5,34,34,34,34,34,-0.0126635229236844,-0.208199290280402,0.501956024385651,0.0734875675524109,-0.00219748636750206,0.075685053919913,1.02990283174001
"9","ratio_quantity.0101010Q0",5,82,82,Inf,Inf,82,-0.0635881056826299,-0.480659611113886,0.522789094345825,0.195881529578326,0.0742491038633279,0.121632425714998,0.620948927532045
"10","ratio_quantity.0101010R0",4,26,26,26,26,80,-0.0198825420933746,-0.0717480166834686,0.659537961085821,0.277238643414662,0.21694630766907,0.0602923357455916,0.217474501400634
"11","ratio_quantity.0101012A0",4,4,4,4,4,4,-0.00936724099014363,62067204461904.1,1.00000000000002,0.00936724099014348,1.11022302462516e-16,0.00936724099014337,0.999999999999988
"12","ratio_quantity.0101012B0",3,27,27,Inf,Inf,52,0.000404208721337796,0.0102328284028847,0.519122687678728,0.0395297607754242,0.0582170760139191,-0.0186873152384949,-0.472740408034871
"13","ratio_quantity.010102100",2,77,77,77,77,77,-1.40656353918357e-06,-0.00138027428073827,0.521739130434783,0.00102045296526685,0.000988102003865627,3.23509614012221e-05,0.0317025502422469
"14","ratio_quantity.0101021B0",3,21,21,21,21,77,-3.4771490818667e-05,-3.48132019175944e-05,0.52045004993856,0.998843064226171,0.997440045228904,0.00140301899726636,0.0014046440802523
"15","ratio_quantity.0101021C0",3,76,76,Inf,Inf,78,4.30591018983083e-05,0.0569046346811013,0.549024474922247,0.000838197043027539,0.00162248087489872,-0.00078428383187118,-0.935679549808926
"16","ratio_quantity.0102000A0",6,6,6,6,6,44,-0.000520000042814278,-0.00618609679778068,0.500736082548095,0.0845536174271905,0.0554764214625851,0.0290771959646054,0.343890620524236
"17","ratio_quantity.0102000AC",6,6,6,6,6,69,-5.17234561409543e-05,-0.085015768756676,0.501165045709077,0.000618774740711231,-4.63850453158443e-07,0.000619238591164389,1.00074962732419
"18","ratio_quantity.0102000AJ",8,94,94,94,94,97,4.05687667101413e-05,0.218477257883898,0.829088392788854,0.000209959522993226,0.000258891298016245,-4.89317750230198e-05,-0.233053372980842
"19","ratio_quantity.0102000D0",17,53,53,53,53,53,-0.000192912390096936,-74137614349287.6,0.950881165878206,0.000192912390096939,-9.96510608184667e-06,0.000202877496178786,1.05165612264116
"20","ratio_quantity.0102000H0",15,86,86,86,86,86,-0.000231527956196139,-0.819059612238266,5.61568347092048,0.000514203298426037,0.000472974486760447,4.12288116655896e-05,0.0801799828818484
"21","ratio_quantity.0102000J0",5,8,8,NA,NA,8,-0.00077771324754067,-0.0155349205393492,0.505841377741695,0.0520714513049743,0.00902244050962077,0.0430490107953536,0.826729613185203
"22","ratio_quantity.0102000K0",6,8,8,8,8,8,-9.88599231736985e-05,-0.00804163095485641,0.50845238870446,0.0126582525129753,0.00663082952024749,0.00602742299272784,0.476165488605116
"23","ratio_quantity.0102000L0",5,Inf,Inf,Inf,Inf,Inf,NA,NA,NA,NA,0.011177090358759,NA,NA
"24","ratio_quantity.0102000N0",3,Inf,Inf,Inf,Inf,Inf,NA,NA,NA,NA,0.32619186043894,NA,NA
"25","ratio_quantity.0102000P0",4,27,27,27,27,42,-0.00816098336422877,-0.0175842226529945,0.72051341147908,0.464971403148816,0.442318158298103,0.0226532448507122,0.0487196517835356
